"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000174977",87.5974574166123,0.24234737439164,0.172541258800493,1.40457636669884,0.16014728835914,0.375126531547089
"ENSG00000174989",1698.58693691448,0.0392039810088722,0.144021362473051,0.272209485701873,0.785460948606438,0.897827329294987
"ENSG00000174990",34.0661563006495,0.976034292581274,0.445749263099613,2.18964869575826,0.0285497245208365,0.125709272592992
"ENSG00000174996",2259.47087218934,-0.532774011724694,0.145374725111962,-3.66483246186275,0.000247500546233649,0.00423295955976864
"ENSG00000175003",149.833500450194,0.285379968172263,0.285314425275844,1.00022972163554,0.317199348811019,0.560272041910119
"ENSG00000175029",3938.25732602403,-0.0472100197427481,0.0915064512408948,-0.515920124784051,0.605910197669605,0.791890445801243
"ENSG00000175040",691.622917021317,0.609686001297995,0.276859504792095,2.20214943227553,0.0276547546750585,0.123238901787704
"ENSG00000175048",1368.51743913839,0.0911922991178263,0.150522514362949,0.605838266147601,0.544622156604888,0.748849509792435
"ENSG00000175054",7472.00433466266,0.128540656542937,0.172176121674752,0.746564943458043,0.455326216159009,0.683512655607361
"ENSG00000175061",4442.51132351805,-0.00685282436860258,0.175736941867584,-0.0389947855913307,0.968894545948751,0.986787625203272
"ENSG00000175063",1450.36329771845,-0.641937355316074,0.160043112345635,-4.01102769064951,6.04550184962186e-05,0.0014573646521692
"ENSG00000175066",3520.08012660666,0.293797920853841,0.168060174142239,1.74817098907194,0.0804344234968021,0.245385879524648
"ENSG00000175073",3348.63439683042,0.223002377661647,0.12700446444132,1.7558625095788,0.079111887777932,0.242812164840782
"ENSG00000175084",171.973687901576,0.735492147300429,0.394109959107288,1.86621050877886,0.0620119193921612,0.208008388816922
"ENSG00000175087",1454.08256486738,-0.120334219642922,0.131718741645863,-0.913569459739076,0.360943120054878,0.601483184563089
"ENSG00000175093",769.336102811241,0.169823242783186,0.393050880157059,0.432064272990119,0.665694700178572,0.830112012382154
"ENSG00000175097",10.6289328637662,0.348466229113455,0.351998553168222,0.989964947233524,0.322191252434739,0.565814638004806
"ENSG00000175104",1334.40528699282,0.211819268460993,0.0990606864729334,2.13827781739499,0.0324942018325704,0.137440155356142
"ENSG00000175105",1569.00571166417,0.151418539624709,0.169963099665767,0.890890669342189,0.3729878264588,0.612495760244322
"ENSG00000175106",818.403281245327,0.71759482474523,0.155523605690576,4.61405727805031,3.9488352374065e-06,0.000178606670054494
"ENSG00000175110",938.4652147355,0.167880335216513,0.13554425893158,1.23856470602163,0.215506745398099,0.448847448591351
"ENSG00000175115",3345.75537322,0.0796747851021182,0.12632768519988,0.630699319599295,0.528237144038758,0.737281099300957
"ENSG00000175130",12532.7077092226,-0.603112038189784,0.163163381967012,-3.69636882319416,0.000218705181152581,0.00387979535526602
"ENSG00000175137",2374.88052126658,-0.324150376201915,0.0990025419686096,-3.27416215539892,0.00105975778426727,0.0124350451468614
"ENSG00000175147",403.779255743261,1.30792579019106,0.245657544306075,5.32418328077668,1.01407621089868e-07,1.1396050760221e-05
"ENSG00000175155",1651.93738974534,0.114689878662375,0.156593905307868,0.732403208393662,0.463922501086861,0.691025579116066
"ENSG00000175161",600.413573737137,0.274277054135458,0.374710172954455,0.731971197827061,0.464186147705635,0.691261420052061
"ENSG00000175164",644.86548528012,0.743579356485871,0.370744419156084,2.0056387043626,0.044894809313151,0.168368925168087
"ENSG00000175166",7941.03533504455,0.0892550905773162,0.102976768817235,0.866749768928249,0.386079129823593,0.624585045063681
"ENSG00000175170",224.743797103503,0.101770434728831,0.270517113235463,0.376207011495973,0.706763003250662,0.854207966749378
"ENSG00000175175",2796.87051531204,-0.647980954935589,0.214177315957483,-3.02544156947144,0.00248270370084296,0.0233010984575861
"ENSG00000175182",2174.29675648961,-0.367136825617759,0.152905311642,-2.40107306721523,0.0163470720208705,0.0865980487094559
"ENSG00000175183",1041.874136493,-0.343875648075693,0.184389915956675,-1.86493738712095,0.0621901811284934,0.208384827060432
"ENSG00000175189",37.8664573803756,-0.53962608382053,0.331288853695343,-1.62886881886095,0.103340792221738,0.287072976625162
"ENSG00000175193",772.773998707957,0.156439427620929,0.131283548646682,1.19161486137116,0.233412295059921,0.469032423312825
"ENSG00000175197",640.448062219481,-0.164251937426937,0.153353464021689,-1.07106767020083,0.284139003634754,0.526495738551535
"ENSG00000175198",2336.68709224234,-0.205735684187758,0.212221863370797,-0.96943680033708,0.332327298667792,0.574133363411958
"ENSG00000175203",2976.3884268509,-0.254150315366141,0.0822931789073643,-3.08835214218948,0.00201269820896489,0.0199650262539638
"ENSG00000175206",154.859240565594,-0.255636643831413,0.256763807883092,-0.995610113197134,0.319439619071932,0.562774445190058
