"","geneid","wilcox","wilcox_BH","FC","log2FC"
"15480","ENSG00000199938",0.79821507589344,1,1.14285714285714,0.192645077942396
"15481","ENSG00000199977",0.671125458389813,1,1.19512195121951,0.257157839497124
"15482","ENSG00000200087",0.55221422203415,0.990336329831089,1.06271018793274,0.0877482126370653
"15483","ENSG00000200090",1,1,0.844919786096257,-0.243113711710534
"15484","ENSG00000200091",1,1,1.06493506493506,0.0907654639231822
"15485","ENSG00000200312",0.55221422203415,0.990336329831089,1.06145369781733,0.0860414401210587
"15486","ENSG00000200488",0.79890666964327,1,1.08474467908267,0.117355509427421
"15487","ENSG00000200502",0.733196120689158,1,0.870431893687708,-0.200196675222252
"15488","ENSG00000200534",0.443097314231703,0.990336329831089,0.517730496453901,-0.949726793518776
"15489","ENSG00000200597",0.79856176300482,1,0.869198312236287,-0.202242721715041
"15490","ENSG00000200651",0.444696231849709,0.990336329831089,0.718446601941748,-0.477047161554269
"15491","ENSG00000200665",0.148125677101043,0.96428928564165,0.378109452736318,-1.40312417773534
"15492","ENSG00000200718",0.345986525287025,0.975322513573003,0.512562814070352,-0.964199278572153
"15493","ENSG00000200742",0.864665265312348,1,0.971428571428571,-0.0418201756946271
"15494","ENSG00000200769",0.350237584818994,0.975322513573003,0.545454545454545,-0.874469117916141
"15495","ENSG00000200795",0.79890666964327,1,1.21178120617111,0.27712923571958
"15496","ENSG00000200879",0.79890666964327,1,0.996336996336996,-0.00529429966951302
"15497","ENSG00000200882",0.444696231849709,0.990336329831089,0.737373737373737,-0.439532061199592
"15498","ENSG00000200888",0.606584520640779,1,0.672566371681416,-0.572251448971602
"15499","ENSG00000200913",1,1,1.04306220095694,0.0608251926960435
