"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"Pip4k2a","Pip4k2a",-0.315288771941579,-0.417790424918461,-1.3868773563922,0.179425386516657,0.224648458871275,-6.5905767764503,"No change"
"Bpnt1","Bpnt1",-0.0948809849283734,4.54948312183046,-1.38584285335032,0.179736848969357,0.224990017762352,-6.59195144349514,"No change"
"Vps13c","Vps13c",0.306832184200139,1.19742388857349,1.36345118682222,0.186584227637279,0.232585822584373,-6.6214945805982,"No change"
"Plcb3","Plcb3",0.118051669273268,1.84919414632348,1.35804051150875,0.188269368320254,0.234410267210039,-6.62857250220848,"No change"
"Pex5","Pex5",0.123915107129536,4.5816750011632,1.35603733965378,0.188896288452193,0.235165675611838,-6.63118690531704,"No change"
"Lonp2","Lonp2",0.111782789855645,5.64081254083658,1.3486249798053,0.191230410981075,0.237740947811229,-6.64083263972113,"No change"
"Elovl2","Elovl2",0.284698151223695,7.24852320247464,1.34586162386341,0.192106367353958,0.238727953195891,-6.6444171583484,"No change"
"Lias","Lias",0.128623358971459,2.31991446281611,1.33590610791727,0.195288342299475,0.242139236819387,-6.6572793930977,"No change"
"Nr3c1","Nr3c1",-0.124936127513624,2.8983691686839,-1.33284982110599,0.196273439977841,0.243101688613609,-6.66121176559643,"No change"
"Kat5","Kat5",0.106348372964706,2.02632229842942,1.332597497068,0.196354942358599,0.243176758258324,-6.66153607651087,"No change"
"Pigp","Pigp",0.18078025250298,2.22318768307703,1.31787228408371,0.201157348763347,0.248463374960904,-6.68037180777568,"No change"
"Sh3yl1","Sh3yl1",-0.187072718446561,1.18285102088291,-1.31700418436574,0.201443303160749,0.248763777770605,-6.68147666994376,"No change"
"Hsd17b13","Hsd17b13",-0.190666381429144,7.00922500383999,-1.29083524699659,0.210212989194588,0.258332697839279,-6.71449046307903,"No change"
"Fgfr4","Fgfr4",-0.131853686810901,3.01565153692956,-1.29015404605837,0.210445160261559,0.258563413943238,-6.71534225921835,"No change"
"Ikbke","Ikbke",0.279538094867263,1.28003770705109,1.28744049808689,0.211371978114919,0.259565145946353,-6.71873153712551,"No change"
"Slc10a5","Slc10a5",-0.313230882695506,3.10233871457302,-1.2681205139148,0.218062187284981,0.267076270420909,-6.74268505196497,"No change"
"Abhd5","Abhd5",-0.167179464229783,2.89962926586015,-1.24010278678451,0.228051825843106,0.278053132305459,-6.77686594825925,"No change"
"Stard5","Stard5",-0.125650605991678,4.05986447293124,-1.23450119658859,0.230090273293503,0.280127687328774,-6.78362027201611,"No change"
"Cyp2b10","Cyp2b10",0.872308005454436,1.35739682502675,1.22840082814008,0.232325959444945,0.282376967625283,-6.79094575777696,"No change"
"Ldlr","Ldlr",-0.196495376273569,4.55293741458361,-1.22775987105209,0.232561813942714,0.282634118458729,-6.79171360221752,"No change"
"Acot12","Acot12",0.171367607989358,4.46449225702349,1.21936270409615,0.235668539530198,0.285753321345138,-6.80174085095771,"No change"
"Msr1","Msr1",-0.507026317273242,0.0763903221849695,-1.21776762609986,0.23626220964244,0.286413483806724,-6.8036387857603,"No change"
"Ptdss1","Ptdss1",0.110310785187311,3.43690693055129,1.21422679680076,0.237584107713951,0.287806143805441,-6.80784415870406,"No change"
"Slco2b1","Slco2b1",-0.10459192193931,4.53931531362886,-1.20863519805099,0.239682986551426,0.290016662903841,-6.814463396215,"No change"
"Tysnd1","Tysnd1",-0.136801968655373,3.9057042298655,-1.20683824878132,0.24036045507584,0.290671588676397,-6.81658492043876,"No change"
"Abhd4","Abhd4",-0.114115452385995,3.84942735020694,-1.20378227597492,0.241515900645608,0.291930996740496,-6.82018653588051,"No change"
"Stard3nl","Stard3nl",0.129868193765267,2.71241976119254,1.20277028243984,0.24189944974739,0.292333890105895,-6.82137745824392,"No change"
"Adipor1","Adipor1",0.0740832737407273,4.04674166494843,1.20016053636145,0.242890667576712,0.29347082735652,-6.82444458022506,"No change"
"Kcnj8","Kcnj8",-0.365688278286662,-0.227598072479674,-1.19053845606907,0.246571654428647,0.29736270706611,-6.83570250777983,"No change"
"Fads3","Fads3",-0.184912331885694,-0.205572754474838,-1.17350290093435,0.253190958012249,0.304116569690873,-6.85543885179452,"No change"
"Baat","Baat",-0.102844424876699,6.71183209807837,-1.16071582946065,0.258245808196632,0.309421758451781,-6.87008837419966,"No change"
"Abcd3","Abcd3",-0.131025508487224,6.88858201792906,-1.09840660538914,0.283948740662655,0.337162054452098,-6.93943148337605,"No change"
"Pten","Pten",-0.111421670181592,3.40081975043019,-1.08737461141628,0.288686540518765,0.342126325740546,-6.95135272638622,"No change"
"Cyp26b1","Cyp26b1",0.455684358991998,-0.144063939438979,1.08512774411945,0.289658427584236,0.34310344378719,-6.95376747424282,"No change"
"Zbtb20","Zbtb20",-0.238212671073647,1.29784622675412,-1.08234577025749,0.290865038240951,0.344304647090419,-6.95675109658939,"No change"
"Sqle","Sqle",-0.349189684541753,4.18953089936266,-1.04839633542961,0.305881396131105,0.359756827967859,-6.99260533810182,"No change"
"Abhd15","Abhd15",0.258942191464433,2.62773566287511,1.02318504948957,0.317383033459484,0.371706694147206,-7.01856220868261,"No change"
"Plcg1","Plcg1",-0.0991543394523526,2.02421358509343,-0.995225949706949,0.330489015657326,0.385876276874974,-7.04667595354556,"No change"
"Nr1h4","Nr1h4",0.1274797682897,4.99111872696404,0.985572559783582,0.33509996969064,0.390569652236066,-7.05621761201375,"No change"
"Ptgs1","Ptgs1",-0.296987073751834,0.188748616121337,-0.982690010680363,0.336485378681128,0.392105859278099,-7.05905030384672,"No change"
"Fads6","Fads6",0.116538172804217,3.95734275147608,0.979136452045737,0.338198704706754,0.393708214051001,-7.06253194498985,"No change"
"Tmem30a","Tmem30a",-0.0962842294085364,5.05086130290452,-0.968852578187455,0.343190721751172,0.399279969058566,-7.07254254999708,"No change"
"Acad12","Acad12",-0.191988797745642,-0.0876488288964385,-0.964740915565474,0.345200637627476,0.401297465176407,-7.07651781699583,"No change"
"Eepd1","Eepd1",0.225905034382625,1.81801180843232,0.964264673441184,0.345433958226167,0.401528596803591,-7.07697725770546,"No change"
"Rora","Rora",-0.133168943302001,2.3044674325434,-0.963798294389796,0.345662550890788,0.40175418711982,-7.07742698138745,"No change"
"Plbd2","Plbd2",-0.0837843713571416,2.96890223021837,-0.950443471466653,0.352252075126675,0.408596960573986,-7.09021999344137,"No change"
"Phb2","Phb2",0.0527047752227068,4.95891767802971,0.923812606744111,0.36564456831944,0.422363748577805,-7.11523915192175,"No change"
"Atp11c","Atp11c",-0.086776401226861,4.86082514850729,-0.914306111728316,0.370506671380778,0.427216876183958,-7.12401111096789,"No change"
"Acsf2","Acsf2",0.0732840196969011,5.67578203044685,0.912081905246831,0.371650416029336,0.428323516404143,-7.1260513302383,"No change"
"Lsr","Lsr",-0.0900450613336004,5.20523950714851,-0.883418466446924,0.386599059469443,0.443487724538227,-7.15193074882653,"No change"
"Pigb","Pigb",0.0822288026947365,0.670015592250827,0.871271796925986,0.393050709578628,0.450223128509561,-7.1626656070285,"No change"
"Sirt1","Sirt1",0.104576369723677,1.02135339481212,0.870584091015534,0.39341805808208,0.450466579244203,-7.16326923550874,"No change"
"Pdgfrb","Pdgfrb",-0.208314334964525,0.268239869028872,-0.869930690169591,0.393767288006009,0.450822099655906,-7.16384234101354,"No change"
"Pi4k2a","Pi4k2a",-0.0753527505455467,3.90013867053927,-0.863752758818406,0.397079187016019,0.454033270230813,-7.169241223414,"No change"
"Ptgis","Ptgis",0.300519399817235,-0.912944266168794,0.859373647743634,0.399437618597395,0.456326505973212,-7.17304635346323,"No change"
"Spns2","Spns2",0.163609442193427,2.33826261357586,0.855996107447681,0.401262784992407,0.458051937478091,-7.17596884265345,"No change"
"Egr1","Egr1",-0.558150793447556,2.81765413825879,-0.851594551261216,0.403649336191397,0.46027967315878,-7.17976122941675,"No change"
"Esyt2","Esyt2",0.0781228727376768,2.34611476010069,0.842598477389596,0.408555270050689,0.465190255147718,-7.18745532213109,"No change"
"Hbp1","Hbp1",-0.0931949150993732,3.2823722162119,-0.837526102774518,0.41133812209969,0.467946867668683,-7.19175982498163,"No change"
"Pdpn","Pdpn",0.33133557278219,-1.30362476292647,0.836208529752794,0.412062945631001,0.468588238807936,-7.19287395214697,"No change"
"Sacm1l","Sacm1l",-0.0558641564491902,4.27655763931118,-0.827958542619598,0.416619825033285,0.472800131002574,-7.19981263649478,"No change"
"Plcb1","Plcb1",0.110642512858774,0.572836987109638,0.821619806790921,0.420142542853145,0.476287041615638,-7.20509995590667,"No change"
"Cyp2c39","Cyp2c39",0.320740992455919,0.360000758590816,0.816203837870521,0.423167222086682,0.479202500278934,-7.20958730170082,"No change"
"Fabp7","Fabp7",0.413689529674573,-0.799438258542463,0.813431120577475,0.424720977892198,0.480728139812048,-7.21187380199432,"No change"
"Fmo2","Fmo2",0.19935937657929,1.12208547851778,0.812145170498876,0.425442798485962,0.481498320845791,-7.21293176515227,"No change"
"Ephx2","Ephx2",-0.0964964933452652,8.02086744725206,-0.800997771547078,0.431732028143304,0.487478567671703,-7.22203674842325,"No change"
"Abcb1a","Abcb1a",0.166810983675137,-0.499385767668109,0.781991854200405,0.442586958441295,0.498477802331936,-7.23728653614848,"No change"
"Nudt19","Nudt19",0.0612170596574617,3.54766246535467,0.759790287264854,0.455476333654388,0.511608670855378,-7.25466155516115,"No change"
"Ogt","Ogt",0.135070625777964,2.68371012971384,0.751692137052424,0.460233541468309,0.516204894396227,-7.26088108106967,"No change"
"Plscr3","Plscr3",0.0945734571806174,0.666204620946271,0.748971599011296,0.461838355183537,0.517755405122442,-7.26295630337927,"No change"
"Pla2g6","Pla2g6",-0.0774684665386483,2.33214170001915,-0.714415705836786,0.482511261069825,0.537874587452513,-7.28869210900575,"No change"
"Gps2","Gps2",0.0916063634426809,2.46582282124292,0.703619705044903,0.48907870681739,0.544257296935424,-7.29649482134376,"No change"
"Atg14","Atg14",0.0975062250696985,1.94136871929249,0.699705536184386,0.491472449857069,0.546503090081822,-7.29929570837646,"No change"
"Pafah2","Pafah2",0.0728170560793426,4.88710264372433,0.694508171460971,0.494661316665312,0.549786388910195,-7.30299172618725,"No change"
"Dab2","Dab2",-0.244215668743463,-0.0551367471510078,-0.686425748722558,0.499643748801208,0.554688438792184,-7.30868700439648,"No change"
"Tmem41b","Tmem41b",-0.0922239244652303,2.35557280416705,-0.671110850120379,0.509162353152924,0.564030025419,-7.31930339782827,"No change"
"Anxa2","Anxa2",0.155309513970829,1.73934594000426,0.666103294810889,0.512296593744336,0.56711242672535,-7.32272481150031,"No change"
"Slc2a1","Slc2a1",-0.107016896000699,1.96096960945212,-0.662208633931314,0.514741693150785,0.569602449760599,-7.32536882812984,"No change"
