"","log2fc","logCPM","LR","pvalue","ENSEMBL","SYMBOL","ENTREZID","is_sig","is_lipid","is_use"
"ENSG00000241217",-0.0465599491051483,1.30022444571032,0.0615491483054598,0.804063992669577,"ENSG00000241217","RN7SL809P","106479516",FALSE,FALSE,FALSE
"ENSG00000241224",-0.222281769509426,-3.99235939784111,0.0516545496885925,0.820208844084694,"ENSG00000241224","C3orf85","401081",FALSE,FALSE,FALSE
"ENSG00000241228",-0.283966562404934,-0.171395375830417,1.25023600538586,0.263507406323735,"ENSG00000241228",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241230",-0.169804539943583,0.511043939124813,0.572314423031543,0.44934068930492,"ENSG00000241230","RN7SL801P","106481139",FALSE,FALSE,FALSE
"ENSG00000241241",-0.288156570231814,-4.45562940129926,0.617588456384802,0.431944844778305,"ENSG00000241241","KRTAP4-16","85354",FALSE,FALSE,FALSE
"ENSG00000241244",-0.707661125876054,0.045183931982783,1.37219160351204,0.241435692557699,"ENSG00000241244","IGKV1D-16","28901",FALSE,FALSE,FALSE
"ENSG00000241250",-2.7000374546742,-3.82639524967463,1.91634860050948,0.166259747812513,"ENSG00000241250","RPL17P20","391655",FALSE,FALSE,FALSE
"ENSG00000241257",-0.179845613431333,-4.45025858655186,0.136338115439498,0.711948906150377,"ENSG00000241257",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241258",-0.00378082170014575,5.60431485686974,0.000573856184701071,0.98088826744943,"ENSG00000241258","CRCP","27297",FALSE,FALSE,FALSE
"ENSG00000241269",-0.532566270453329,0.399508089442323,0.0898360227149411,0.764385722341757,"ENSG00000241269",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241280",-0.460952209235416,-3.50627437566974,0.21065172129174,0.64625707046969,"ENSG00000241280",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241282",-0.0479313670096183,-4.15169276803075,0.00222220404950235,0.962401440683928,"ENSG00000241282",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241286",-0.822930859345666,-4.44850988251006,5.52339389577976,0.0187638210647437,"ENSG00000241286",NA,NA,TRUE,FALSE,FALSE
"ENSG00000241294",-0.101458059993194,1.18894415279399,0.0373605671953356,0.846732783082608,"ENSG00000241294","IGKV2-24","28923",FALSE,FALSE,FALSE
"ENSG00000241305",-0.0194608807197321,-4.37663073508221,0.000168300659767695,0.989649274558216,"ENSG00000241305",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241313",-0.199158901711983,-1.39380964803859,0.282875445973986,0.594822711455497,"ENSG00000241313","WWTR1-AS1","100128025",FALSE,FALSE,FALSE
"ENSG00000241317",-0.734646479976373,-4.40887780208867,0.717607095551015,0.396929948629388,"ENSG00000241317",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241318",-0.344004155935159,-2.69083442017374,0.8575129558116,0.354435610349419,"ENSG00000241318",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241322",-0.0251974639715544,0.27030526020398,0.00881760567759216,0.925186920182129,"ENSG00000241322","FBXW10B","374286",FALSE,FALSE,FALSE
"ENSG00000241324",-0.473456249759803,-4.46243604763949,3.10178760397332,0.0782063755002085,"ENSG00000241324",NA,NA,FALSE,FALSE,FALSE
"ENSG00000241328",-0.803421979009921,-4.44947468129259,5.44791735907963,0.0195916688884129,"ENSG00000241328","LINC02070","101927494",TRUE,FALSE,FALSE
"ENSG00000241336",-1.61494052665937,-3.42969894186522,1.74143777256253,0.186956754531788,"ENSG00000241336","LINC01487","101928190",FALSE,FALSE,FALSE
"ENSG00000241343",-0.175355488380775,5.51053833610487,0.539295422351955,0.462724873012427,"ENSG00000241343","RPL36A","6173",FALSE,FALSE,FALSE
"ENSG00000241345",-1.93471809501032,-4.30519055962829,2.94610834276472,0.0860846271267229,"ENSG00000241345","LOC105375483","105375483",FALSE,FALSE,FALSE
"ENSG00000241346",-0.254959004618877,-0.823277194239393,0.597961372793989,0.439356913532884,"ENSG00000241346","SNRPCP11","100310850",FALSE,FALSE,FALSE
"ENSG00000241347",-1.50905843338087,-4.32497597907434,2.02323291635464,0.154909025329343,"ENSG00000241347","RN7SL466P","106479393",FALSE,FALSE,FALSE
"ENSG00000241351",-0.204392757817393,5.11531495734801,0.195243964808185,0.6585874832668,"ENSG00000241351","IGKV3-11","28914",FALSE,FALSE,FALSE
