,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,is_use
ENSG00000100083,2847.0780946034292,0.15789941371770944,0.1133310549024173,1.393258130824489,0.16354174682824207,0.338167928778079,False
ENSG00000100084,2815.8677786767553,0.455144845986848,0.10847797275955061,4.195735174694958,2.7198790086293976e-05,0.0007451480208626706,False
ENSG00000100092,774.6089024955603,0.07254927822856147,0.20123379157303062,0.36052234399326666,0.7184565503888395,0.8389720356928336,False
ENSG00000100095,9624.517050384351,0.8414624766903088,0.26185510418684205,3.2134660093923477,0.0013114331952410517,0.012224353027624132,False
ENSG00000100097,1743.987987627368,-0.24513261566042183,0.20217543546517566,-1.2124747751694367,0.22533069275351136,0.41445834286513783,False
ENSG00000100099,3077.453426386517,0.2529746242078869,0.08551003682280617,2.9584202464103804,0.0030922024581012696,0.02250391659180706,False
ENSG00000100100,1347.7259857493943,-0.5746933881107167,0.15842531152072015,-3.627535162116778,0.00028613981682602086,0.004035416108548358,False
ENSG00000100104,1001.1171899683477,0.16828941175105028,0.08639153010600192,1.9479850807661365,0.05141674833741778,0.15731831104700492,False
ENSG00000100105,4155.334193786929,0.5531200954962461,0.10671463272564397,5.183170117993847,2.1814589514721368e-07,2.2249294789414728e-05,False
ENSG00000100106,3300.1573774726517,0.25737141810517544,0.15607250274337173,1.6490503681379958,0.09913731634629332,0.24280505142165865,False
ENSG00000100109,1288.8571527083986,0.12040565394046585,0.07940632089462973,1.5163232924522627,0.12943762471177592,0.2903848156126487,False
ENSG00000100116,276.65217735520326,0.28277962786581,0.1981349821862831,1.427206971457193,0.15352024562958835,0.32463328177161443,False
ENSG00000100124,1335.4702411002702,0.4592644041132243,0.127362279333793,3.6059687885262885,0.0003109905170353278,0.004286320403836302,False
ENSG00000100129,4058.3496990399467,0.18378440726778666,0.11893444611580944,1.5452580246502448,0.1222838641990151,0.27975675555089524,False
ENSG00000100138,1942.7712956074383,0.292188277262738,0.10199974283700947,2.8645981757977603,0.004175387017011933,0.0277514822400831,False
ENSG00000100139,1728.1864120895114,0.10902569192162206,0.1700730665065617,0.6410520734475947,0.5214888509771312,0.6970514695883939,False
ENSG00000100142,652.0848085644404,0.3047147613099222,0.09063038716098382,3.3621699173442483,0.0007733252119111677,0.008332977487536124,False
ENSG00000100146,144.01336952605786,0.2185001887433991,0.2503494780514192,0.8727806842022711,0.38278262985644895,0.5776870835749608,False
ENSG00000100147,549.3101783299388,0.27211051019586335,0.12920650364700237,2.106012487879718,0.035203267613600236,0.12235207559185371,False
ENSG00000100150,2204.8511979357963,0.21752267566460987,0.08711978358059552,2.4968229571343814,0.012531150269680227,0.06004902078237061,False
ENSG00000100151,1586.942188413598,0.28464887960012436,0.11064437674939424,2.5726465995180616,0.010092420327150176,0.0513649438098182,False
ENSG00000100154,3633.0017842116667,0.4233438119151038,0.10478171908312214,4.040244955126857,5.339540309529968e-05,0.0012058246908349158,False
ENSG00000100156,311.8100122499529,0.46529500730036544,0.18117407947190386,2.5682206232626257,0.010222207360809893,0.051803680705707664,False
ENSG00000100162,1005.1363460488056,0.8290752599809235,0.1609134687985449,5.152304938618169,2.573041946535201e-07,2.521400652627502e-05,False
ENSG00000100167,3701.607052143859,0.9333499034039519,0.20706430612212737,4.5075364309938495,6.558467240720444e-06,0.00026303958378985637,False
ENSG00000100170,365.56876681715806,0.32288072020391595,0.3368648981063397,0.9584872808623435,0.3378171021408879,0.5348758084318729,False
ENSG00000100181,219.810029229241,0.6156595919237722,0.346552651767804,1.7765254104483792,0.07564635749019974,0.2024937044173623,False
ENSG00000100191,85.75935196388872,-0.06606282923916758,0.20187422482772127,-0.3272474695347826,0.7434807201053444,0.854577427022339,False
ENSG00000100196,443.61422671246635,-0.3747815808499348,0.16389446893901197,-2.2867250083308037,0.022211879043062842,0.08902526198911498,False
ENSG00000100197,856.3808413815932,0.5201174304784998,0.19198290750129157,2.709186131452878,0.006744848887417587,0.038929146902205634,False
ENSG00000100201,42952.39746742205,-0.020001954577691602,0.09985809585379353,-0.20030378515305672,0.8412430024135276,0.9163782516323037,False
ENSG00000100206,252.0051323412749,0.9680656343834717,0.2699283173574457,3.58638042818433,0.0003352997032004413,0.004523562325813361,False
ENSG00000100207,6321.1206498417505,0.25072964559854993,0.09209085702489751,2.7226334263646077,0.006476387534251729,0.03782792952117711,False
ENSG00000100209,204.24277684910248,0.11965391143192847,0.1137744673273247,1.0516763052617846,0.2929480856975496,0.48931681203221006,False
ENSG00000100211,675.0301298155756,0.2893639350495143,0.07589008600181067,3.812934604430549,0.0001373264576444092,0.00233863538798445,False
ENSG00000100216,802.0703082405256,0.2135965385054307,0.0960205222905523,2.2244884052921567,0.026115601752836146,0.09941273794022927,False
ENSG00000100218,38.932857082839895,0.30770477564210047,0.1980286310063761,1.5538398365850088,0.1202226255767813,0.27648443769904574,False
ENSG00000100219,9748.93562357403,-0.6093878748852035,0.21647653090830318,-2.8150297509309814,0.004877271846547158,0.030955360666729125,False
ENSG00000100220,1849.6170788946167,0.11133433528669806,0.09151336496626393,1.2165909900454546,0.22375987249126894,0.4123532788196525,False
ENSG00000100221,2352.849249099085,0.09435331257528032,0.09101688404054052,1.0366572484864862,0.29989562273274906,0.49654379759461836,False
ENSG00000100225,3938.320927847361,-5.714823110324339e-05,0.0873587358012295,-0.0006541787787917951,0.9994780408896259,0.9997409155080322,False
ENSG00000100226,4013.7450721105106,0.2663793122718985,0.09647331556065845,2.761170907455856,0.00575945283753973,0.03472824823472187,False
ENSG00000100227,3879.5023522044085,0.3257525079474928,0.09059568199283886,3.595673665476042,0.0003235531944484596,0.004411774427754203,False
ENSG00000100228,1071.0006666846643,0.4221787890853001,0.17214661640160928,2.4524373345821595,0.014189209174434008,0.06514633146579228,False
ENSG00000100234,8123.922913174963,-0.5135607880337907,0.26957619803494226,-1.9050672565951958,0.05677132903227506,0.1673463220755279,False
ENSG00000100239,4204.132521209562,0.12757453238021713,0.13417101766849548,0.9508352444297865,0.3416880181762938,0.5383769158871639,False
ENSG00000100241,11707.930823541432,0.4275526041729534,0.16323317886248634,2.6192751201221136,0.008811684939789744,0.0468690544427169,False
ENSG00000100242,10078.078330275637,0.26255415842693086,0.15897897119491186,1.6515024374200626,0.0986360234626736,0.24187298357064776,False
ENSG00000100243,2972.6318501115275,0.07607350214113862,0.09702194557785278,0.7840855147570236,0.43298993434413335,0.6226978572154799,False
ENSG00000100246,599.7241081223921,0.3639482972569959,0.12913057558418758,2.818451754051985,0.004825586249080188,0.03072600297711716,False
ENSG00000100253,43.63168193859007,0.23735039099335728,0.23985127977221257,0.9895731689185465,0.32238278989604163,0.5198753803831527,False
ENSG00000100258,4666.441493923894,0.5084742596548277,0.16626225724998397,3.0582663080912598,0.0022262164010890045,0.017876014204908218,False
ENSG00000100263,997.0491861312091,0.20537772354122194,0.15798260455673732,1.3000021370546737,0.19360023672413684,0.37669784527496286,False
ENSG00000100266,3429.343409548108,0.09259031028873733,0.09995334320131818,0.926335301284012,0.3542717557195576,0.5510158336786655,False
ENSG00000100271,314.0625073419001,0.5093461857055533,0.12848076260383198,3.9643770427804257,7.358786437769705e-05,0.0015032719738278565,False
ENSG00000100276,77.80523808869714,-0.1232012050960732,0.22027550405971089,-0.5593050649094263,0.5759535392774882,0.7389910736347204,False
ENSG00000100280,4734.37433222915,0.12306775656472298,0.12906195710575047,0.9535556357934664,0.3403086213873372,0.5371648282398861,False
ENSG00000100281,2040.1267381837856,0.10504263414556564,0.10479501908355751,1.0023628514424974,0.31616837704946554,0.5129506385633624,False
ENSG00000100284,1481.0460511002102,-0.15478718056458773,0.1472315050395444,-1.0513183338240955,0.2931124094433426,0.48952046746324057,False
ENSG00000100285,270.5776471466168,0.07935098636975753,0.32768167589482444,0.2421587540806728,0.8086571534604203,0.8954276900525605,False
ENSG00000100288,1882.2002982749761,0.3321481872484327,0.13626700027097072,2.4374807296553596,0.01479000250041933,0.06699450745021986,False
ENSG00000100290,381.53417838016145,0.45754292203647207,0.2794245664828087,1.6374470140391966,0.101537101605397,0.24670067791304356,False
ENSG00000100292,546.284778351316,-0.37879251838489875,0.2013836425381187,-1.8809497812772922,0.059978750472535515,0.17364615950182455,False
ENSG00000100294,616.309815517519,0.33960862554036014,0.1198230202312709,2.8342519232521446,0.004593310577372771,0.029671389929560452,False
ENSG00000100296,2967.037583227978,0.39025945015616553,0.08192647704301842,4.763532672731013,1.9023279180787785e-06,0.000102806345753899,False
ENSG00000100297,5364.225130760029,0.2705386330110605,0.11135881779721811,2.4294316190003493,0.015122517291628838,0.06803919874809201,False
ENSG00000100298,22.70454884051428,-1.08970132659938,0.25822015259735853,-4.220047566537327,2.4425077747596556e-05,0.0006905993756699478,True
ENSG00000100299,1418.7307296937647,-0.11926129941779733,0.1910350074043474,-0.624290286048814,0.5324369622167131,0.7056557159313126,False
ENSG00000100300,690.9533408582391,-0.5384478029269716,0.2538957470428022,-2.1207436879050956,0.03394337786782904,0.11946842294351473,False
ENSG00000100302,740.3568163309368,0.6418714490831106,0.31490620044772316,2.038294095735553,0.04152053000119161,0.1362039973925055,False
ENSG00000100304,2238.975987987292,0.3556858023754678,0.16346555824072967,2.1759066937615232,0.029562238186946563,0.10835881556030805,False
ENSG00000100307,1573.8527002237577,-0.18862490778850102,0.17084705493215602,-1.1040571221049416,0.26956835958758085,0.46439735579586433,False
ENSG00000100311,766.1467298663591,-0.567493096558001,0.21736457405371254,-2.6107892651254607,0.009033353970945604,0.0476702751038725,False
ENSG00000100312,23.804524271315042,0.05402461456182058,0.2584546448093705,0.20902938154455586,0.8344253020641668,0.9121150813475097,False
ENSG00000100314,1763.163515527973,0.846589228960523,0.3248388113738431,2.6061825105812857,0.00915576608678778,0.04813513162178513,False
ENSG00000100316,20822.772848657227,0.060822844717580246,0.11542214676573057,0.5269599155960151,0.5982214248068839,0.7558069604947513,False
ENSG00000100319,328.17970466268525,0.28672577451829767,0.11449730665607778,2.504214141731321,0.012272373086773692,0.05911273206851293,False
ENSG00000100320,7500.204532548465,0.39608673894362634,0.11019372959217319,3.594458055004969,0.00032506750732122334,0.004425967691915375,False
ENSG00000100321,1182.2619325214132,0.5064723033811901,0.18738722739371896,2.70281123439135,0.006875578104638811,0.03947721897214112,False
