"","GeneID","Cluster"
"611","ENSG00000091831","cluster1"
"612","ENSG00000075884","cluster1"
"613","ENSG00000187098","cluster1"
"614","ENSG00000171860","cluster1"
"615","ENSG00000174130","cluster1"
"616","ENSG00000095585","cluster1"
"617","ENSG00000156869","cluster1"
"618","ENSG00000080561","cluster1"
"619","ENSG00000141179","cluster1"
"620","ENSG00000102349","cluster1"
"621","ENSG00000169715","cluster1"
"622","ENSG00000019991","cluster1"
"623","ENSG00000152582","cluster1"
"624","ENSG00000260711","cluster1"
"625","ENSG00000163347","cluster1"
"626","ENSG00000211448","cluster1"
"627","ENSG00000106541","cluster1"
"628","ENSG00000174776","cluster1"
"629","ENSG00000107242","cluster1"
"630","ENSG00000181690","cluster1"
"631","ENSG00000158296","cluster1"
"632","ENSG00000198865","cluster1"
"633","ENSG00000086548","cluster1"
"634","ENSG00000159212","cluster1"
"635","ENSG00000081479","cluster1"
"636","ENSG00000150551","cluster1"
"637","ENSG00000183840","cluster1"
"638","ENSG00000077063","cluster1"
"639","ENSG00000164099","cluster1"
"640","ENSG00000170324","cluster1"
"641","ENSG00000175262","cluster1"
"642","ENSG00000158486","cluster1"
"643","ENSG00000167757","cluster1"
"644","ENSG00000013588","cluster1"
"645","ENSG00000115221","cluster1"
"646","ENSG00000058085","cluster1"
"647","ENSG00000132470","cluster1"
"648","ENSG00000196878","cluster1"
"649","ENSG00000145423","cluster1"
"650","ENSG00000060718","cluster1"
"651","ENSG00000010610","cluster1"
"652","ENSG00000088827","cluster1"
"653","ENSG00000028137","cluster1"
"654","ENSG00000005844","cluster1"
"655","ENSG00000007237","cluster1"
"656","ENSG00000100979","cluster1"
"657","ENSG00000056558","cluster1"
"658","ENSG00000092929","cluster1"
"659","ENSG00000088340","cluster1"
"660","ENSG00000057657","cluster1"
"661","ENSG00000122861","cluster1"
"662","ENSG00000172183","cluster1"
"663","ENSG00000135047","cluster1"
"664","ENSG00000107738","cluster1"
"665","ENSG00000161955","cluster1"
"666","ENSG00000100985","cluster1"
"667","ENSG00000166501","cluster1"
"668","ENSG00000130303","cluster1"
"669","ENSG00000128284","cluster1"
"670","ENSG00000008517","cluster1"
"671","ENSG00000167895","cluster1"
"672","ENSG00000130592","cluster1"
"673","ENSG00000136286","cluster1"
"674","ENSG00000072818","cluster1"
"675","ENSG00000160712","cluster1"
"676","ENSG00000115956","cluster1"
"677","ENSG00000128340","cluster1"
"678","ENSG00000105851","cluster1"
"679","ENSG00000011600","cluster1"
"680","ENSG00000174600","cluster1"
"681","ENSG00000167613","cluster1"
"682","ENSG00000100368","cluster1"
"683","ENSG00000100055","cluster1"
"684","ENSG00000122122","cluster1"
"685","ENSG00000198624","cluster1"
"686","ENSG00000082074","cluster1"
"687","ENSG00000111348","cluster1"
"688","ENSG00000110077","cluster1"
"689","ENSG00000043462","cluster1"
"690","ENSG00000155926","cluster1"
"691","ENSG00000254838","cluster1"
"692","ENSG00000066294","cluster1"
"693","ENSG00000172578","cluster1"
"694","ENSG00000204252","cluster1"
"695","ENSG00000003400","cluster1"
"696","ENSG00000136048","cluster1"
"697","ENSG00000140968","cluster1"
"698","ENSG00000196329","cluster1"
"699","ENSG00000133561","cluster1"
"700","ENSG00000198771","cluster1"
"701","ENSG00000171522","cluster1"
"702","ENSG00000137265","cluster1"
"703","ENSG00000026751","cluster1"
"704","ENSG00000100385","cluster1"
"705","ENSG00000004468","cluster1"
"706","ENSG00000136250","cluster1"
"707","ENSG00000137959","cluster1"
"708","ENSG00000089127","cluster1"
"709","ENSG00000137965","cluster1"
"710","ENSG00000023445","cluster1"
"711","ENSG00000143119","cluster1"
"712","ENSG00000168685","cluster1"
"713","ENSG00000196735","cluster1"
"714","ENSG00000179344","cluster1"
"715","ENSG00000198502","cluster1"
"716","ENSG00000106483","cluster1"
"717","ENSG00000198542","cluster1"
"718","ENSG00000183160","cluster1"
"719","ENSG00000107317","cluster1"
"720","ENSG00000239951","cluster1"
"721","ENSG00000211949","cluster1"
"722","ENSG00000211598","cluster1"
"723","ENSG00000211955","cluster1"
"724","ENSG00000211666","cluster1"
"725","ENSG00000242371","cluster1"
"726","ENSG00000224373","cluster1"
"727","ENSG00000241351","cluster1"
"728","ENSG00000240041","cluster1"
"729","ENSG00000211676","cluster1"
"730","ENSG00000211660","cluster1"
"731","ENSG00000244437","cluster1"
"732","ENSG00000143297","cluster1"
"733","ENSG00000243466","cluster1"
"734","ENSG00000211959","cluster1"
"735","ENSG00000211947","cluster1"
"736","ENSG00000211966","cluster1"
"737","ENSG00000270550","cluster1"
"738","ENSG00000242534","cluster1"
"739","ENSG00000211675","cluster1"
"740","ENSG00000211663","cluster1"
"741","ENSG00000226777","cluster1"
"742","ENSG00000099958","cluster1"
"743","ENSG00000170476","cluster1"
"744","ENSG00000129226","cluster1"
"745","ENSG00000244682","cluster1"
"746","ENSG00000133048","cluster1"
"747","ENSG00000203710","cluster1"
"748","ENSG00000103522","cluster1"
"749","ENSG00000141968","cluster1"
"750","ENSG00000107968","cluster1"
"751","ENSG00000186818","cluster1"
"752","ENSG00000158714","cluster1"
"753","ENSG00000133321","cluster1"
"754","ENSG00000141574","cluster1"
"755","ENSG00000104951","cluster1"
